uid,normalized_score,agent_score,tweet_count
219,5.72,510.9,5
241,5.37,480.03,3
116,3.71,331.95,2
21,3.66,327.57,18
221,3.58,320.45,4
243,3.49,312.0,1
12,3.28,293.3,1
28,3.13,279.65,42
226,3.11,278.04,15
67,2.98,266.58,4
120,2.86,256.23,3
115,2.84,253.87,6
69,2.65,237.05,2
87,2.57,230.38,25
122,2.36,211.12,4
157,2.22,199.09,9
224,2.14,192.0,10
191,1.93,173.11,20
208,1.82,163.06,81
113,1.7,152.61,14
119,1.65,148.41,33
242,1.61,144.2,2
222,1.59,142.64,26
94,1.5,134.71,28
99,1.5,134.37,38
62,1.49,133.77,6
225,1.49,133.88,16
15,1.46,130.79,55
61,1.45,130.49,8
149,1.45,130.03,3
253,1.44,129.55,2
13,1.41,126.37,27
104,1.4,125.89,50
74,1.4,125.44,13
58,1.38,124.42,12
137,1.36,122.5,1
127,1.35,121.73,3
138,1.31,117.9,1577
143,1.31,118.18,18
200,1.31,117.95,35
203,1.31,118.09,21
3,1.31,117.9,10
102,1.3,116.78,34
73,1.29,115.67,13
95,1.28,114.91,14
254,1.28,115.2,1
36,1.28,114.87,6
7,1.27,114.52,8
229,1.27,113.94,10
4,1.26,112.99,15
45,1.26,113.62,24
166,1.25,112.75,213
47,1.25,112.86,37
11,1.25,112.13,15
227,1.25,112.61,37
136,1.25,112.51,52
211,1.24,111.91,73
238,1.24,111.97,21
68,1.23,111.1,1
16,1.23,110.83,23
123,1.23,110.5,1
151,1.22,110.22,21
170,1.22,109.95,1242
78,1.22,109.7,23
223,1.21,109.04,8
5,1.2,107.93,24
135,1.2,108.19,37
174,1.2,108.03,15
216,1.2,108.13,419
237,1.2,108.36,21
65,1.2,108.32,26
171,1.19,107.0,36
201,1.19,107.09,40
233,1.18,105.83,26
212,1.17,105.12,77
142,1.17,105.58,56
88,1.17,105.07,15
245,1.16,104.13,3
250,1.16,104.83,17
105,1.15,103.8,26
6,1.15,103.23,11
92,1.15,103.3,3
144,1.15,103.45,43
210,1.15,103.82,18
231,1.14,102.6,180
198,1.14,102.64,19
202,1.14,103.04,28
183,1.14,102.58,29
177,1.13,101.37,11
188,1.13,102.21,19
133,1.13,101.8,38
112,1.12,100.89,25
107,1.12,100.5,4
180,1.12,101.08,31
93,1.12,101.12,9
114,1.12,100.65,21
215,1.11,99.78,23
100,1.1,99.05,37
43,1.1,98.9,30
34,1.09,98.17,20
182,1.09,98.16,40
98,1.09,98.66,45
131,1.09,97.83,3
163,1.08,97.17,25
156,1.08,97.7,20
17,1.07,96.4,3
214,1.07,96.72,20
186,1.07,96.19,50
126,1.07,96.4,1
32,1.07,96.2,3
97,1.06,95.21,27
189,1.05,94.39,24
232,1.04,94.16,99
185,1.04,93.9,38
64,1.03,92.72,30
167,1.03,93.23,26
206,1.03,92.98,15
20,1.03,92.59,36
9,1.03,92.63,3
246,1.02,91.63,3
179,1.01,90.92,45
80,1.01,90.84,23
129,1.01,90.98,4
108,1.01,91.38,5
18,1.01,91.18,23
50,1.0,90.23,21
164,1.0,90.22,27
152,1.0,90.0,33
41,0.99,89.2,2
169,0.98,88.17,56
139,0.98,88.3,31
29,0.98,88.47,12
118,0.98,88.11,48
27,0.97,87.8,143
192,0.96,87.01,71
187,0.95,85.58,109
82,0.95,86.08,6
77,0.94,85.09,15
81,0.94,84.5,43
30,0.94,85.09,15
213,0.94,84.81,18
109,0.94,84.84,20
103,0.93,83.85,69
181,0.93,84.17,30
209,0.93,83.85,40
90,0.93,83.88,20
31,0.93,83.98,12
25,0.92,83.14,8
89,0.92,82.85,29
194,0.92,82.82,54
106,0.92,83.07,10
26,0.91,82.39,13
83,0.91,82.13,94
204,0.91,82.22,26
86,0.9,80.97,10
199,0.9,81.46,78
168,0.9,81.16,21
155,0.9,81.11,13
148,0.89,80.49,37
178,0.89,80.36,90
247,0.89,80.15,47
85,0.88,79.69,19
220,0.88,79.52,6
19,0.88,79.19,110
141,0.88,79.36,5
205,0.88,79.54,26
44,0.87,78.86,41
234,0.87,79.07,114
176,0.87,78.74,11
53,0.87,78.65,21
79,0.86,77.36,17
91,0.86,77.55,17
8,0.86,78.05,6
147,0.86,78.0,43
195,0.85,77.06,87
184,0.85,77.12,18
252,0.85,77.0,3
165,0.85,77.25,22
196,0.84,75.8,69
173,0.84,75.54,59
159,0.84,75.83,43
55,0.83,75.29,14
49,0.83,74.89,12
35,0.83,75.31,16
124,0.83,75.43,9
111,0.82,74.04,11
24,0.82,73.88,146
248,0.82,74.19,57
132,0.82,74.21,16
57,0.82,74.37,27
197,0.82,74.29,18
160,0.81,73.49,36
249,0.81,73.72,62
96,0.81,73.46,19
228,0.81,73.57,3
235,0.8,72.64,17
14,0.8,72.11,7
52,0.79,71.4,16
193,0.79,71.93,44
51,0.79,71.79,16
54,0.78,70.21,13
84,0.78,70.81,17
23,0.77,70.1,536
190,0.77,69.84,36
175,0.77,69.6,9
172,0.77,69.67,55
236,0.77,69.61,19
158,0.77,69.65,117
117,0.76,68.41,143
48,0.76,69.04,15
153,0.75,67.89,22
207,0.75,68.25,65
110,0.73,65.82,11
22,0.73,66.55,17
161,0.73,66.33,20
46,0.73,66.34,10
154,0.69,62.31,15
37,0.67,60.75,10
162,0.67,60.7,61
217,0.62,56.03,57
2,0.61,55.44,12
140,0.57,51.93,13
251,0.57,51.51,15
38,0.53,48.07,15
121,0.51,46.88,31
40,0.47,42.96,5
134,0.47,42.86,45
244,0.44,40.46,5
218,0.43,39.8,5
56,0.42,38.7,1
63,0.39,35.9,1
240,0.38,34.55,2
