,uid,mean_score,tweet_count,final_score,normalized_score
153,75,0.18310048604195475,450,1.1190126402924725,1.0000000000000002
171,237,0.1825092817493026,450,1.115399514566955,0.9965579376228361
76,133,0.1804917989754864,450,1.1030697344867681,0.9848119106764196
127,89,0.1775183044036058,412,1.0692722033664233,0.9526145228333188
91,78,0.17348306848918943,450,1.0602361070283874,0.9440062402535233
187,35,0.16215554736129592,434,0.9851510610804624,0.872476093953958
156,75,0.17191686489309974,230,0.9356433902315883,0.8253123625602695
185,104,0.1777834188376056,179,0.9232216228274277,0.8134787034274641
48,224,0.17548138000809407,176,0.9083178982005826,0.7992805952754624
37,160,0.15193691663882483,386,0.9053046758835814,0.7964100338947355
30,206,0.18718554195658127,114,0.8881826919948697,0.7800986899109047
139,12,0.17206551154615118,169,0.8836937852689771,0.7758223103632264
182,221,0.17451261944576377,148,0.8732517774164953,0.7658746791149581
46,157,0.17560883332687982,142,0.8715193555025125,0.7642242786737609
28,144,0.1735928070663445,148,0.8686490856583373,0.7614899016845602
32,206,0.169894608920674,159,0.862244670543596,0.7553887034454553
86,136,0.17506204973204414,126,0.84803332064094,0.7418501895534039
56,161,0.17556449082039385,118,0.8390443826359077,0.7332868325964992
65,168,0.1945561202146399,67,0.820931048334842,0.7160310736611346
106,209,0.15786980279985385,179,0.8198110739981876,0.7149641244818239
70,180,0.16928258298395704,125,0.8186982932473236,0.7139040283081617
38,160,0.14574511004465715,271,0.8170182390408767,0.7123035162266789
77,178,0.1662644985674863,133,0.8143368784027156,0.7097491045417932
24,143,0.20003460841635112,57,0.8122291276115629,0.7077411451598579
44,70,0.16288216147174375,143,0.8094939323459578,0.7051354476466366
39,225,0.17077118476643854,110,0.804252052171431,0.7001417441596768
71,170,0.20156713002280324,49,0.7885352497873326,0.6851690533967835
107,16,0.19942751780249662,50,0.784114226366443,0.6809573432207071
19,140,0.20156976922480052,47,0.7803170943915181,0.6773399863654751
97,169,0.2013683507700353,46,0.7752978727775611,0.6725583996750271
206,232,0.20021266431857904,46,0.7708483093581581,0.6683195007259629
63,252,0.2004392882657166,45,0.7674101565369336,0.6650441271652539
113,177,0.20023691371614583,45,0.766635336958851,0.664305991400984
219,58,0.18095768289800604,67,0.7635523372989511,0.6613689562839369
18,247,0.16572568866837242,98,0.7615294016772631,0.6594417964993601
188,105,0.17013789429154766,86,0.7598202034074181,0.6578135201794418
131,21,0.17988234226049069,67,0.7590149291932661,0.657046371653096
220,58,0.13619893957959006,257,0.7563072069946448,0.6544668464951798
62,168,0.25724978675817795,17,0.7435475183706483,0.6423112650143564
36,160,0.14783303808623624,151,0.7426955203789679,0.6414996048465769
136,22,0.2718188929058056,14,0.7360992075969469,0.6352155943305162
58,161,0.1675246719573878,76,0.727694578342761,0.6272088820410615
78,178,0.17115028214808323,57,0.6949459669012321,0.5960107528004558
64,123,0.1700654035216046,58,0.6934480507722783,0.5945837554736798
16,99,0.14842370889288528,95,0.6774574872561895,0.5793502647928376
61,168,0.1845718027674166,38,0.6761901775757132,0.5781429558579241
129,188,0.1574764891412874,71,0.6734743656521436,0.5755557239828877
144,24,0.17770383011717253,40,0.6599159796694997,0.5626392594501615
151,28,0.19762529517001207,26,0.651340733476313,0.5544700080764746
6,87,0.1952121259968425,27,0.6504867266875688,0.5536564342180785
205,111,0.20070243539098329,24,0.6460362172722081,0.549416634061212
167,31,0.180075979821588,34,0.6402327857794896,0.543887965889369
166,31,0.17350627316174025,39,0.6400437262262239,0.5437078573559894
41,70,0.19371576560254766,26,0.6384555617991299,0.5421948845345225
217,58,0.15828873791266682,55,0.6371678387810864,0.5409681287310054
122,244,0.1714619037276709,40,0.6367361361870219,0.5405568650856084
165,31,0.20118062918659446,22,0.630800699171554,0.5349024411892347
13,99,0.20649930048149825,20,0.6286917536901127,0.532893343679593
81,77,0.1995123088765989,20,0.6074197009768114,0.5126284157773073
22,119,0.1998172187558184,19,0.598598891038603,0.5042252268680496
204,49,0.19240905263927766,21,0.5947445501184622,0.5005533696237019
98,207,0.18459691245880164,23,0.586658924710099,0.49285055795085786
194,228,0.102940215573503,292,0.584718192866924,0.491001710008928
79,178,0.1525117611442082,45,0.5839128421681726,0.4902344886191443
